place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
5553000,Milwaukee city,WI,25,A,249085987,1664088,43.063348,-87.966695,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-04
0446000,Mesa city,AZ,25,A,367677026,1589995,33.399355,-111.715968,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
0611530,Carson city,CA,25,A,48513002,612009,33.840367,-118.249574,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
0643000,Long Beach city,CA,25,A,131240389,70390689,33.780791,-118.16818,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-02
0646870,Menlo Park city,CA,25,A,25873981,19152744,37.479731,-122.148055,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-24
0830835,Golden city,CO,25,A,24969974,239970,39.742483,-105.210561,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-25
2622000,Detroit city,MI,25,A,359321405,10794927,42.383037,-83.102237,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-05-13
2706616,Bloomington city,MN,25,A,89868907,9573528,44.829666,-93.315217,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-18
2717288,Eagan city,MN,25,A,80754982,5901767,44.815217,-93.162816,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-03-31
3719000,Durham city,NC,25,A,310655712,2152552,35.977928,-78.898109,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
3460900,Princeton,NJ,00,A,46479389,1205662,40.358244,-74.666728,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-24
3624229,Elmira city,NY,25,A,18775359,845559,42.093388,-76.80961,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-25
3948188,Mason city,OH,25,A,50460616,42168,39.360722,-84.295867,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-30
4055000,Oklahoma City city,OK,25,A,1572117986,37030068,35.467079,-97.513657,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-07-02
4075000,Tulsa city,OK,25,A,512104983,10584373,36.127949,-95.902316,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-26
4516000,Columbia city,SC,25,A,360928070,7709949,34.040519,-80.906099,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,4,2026-06-29
